Name,Elo,Wins,Losses,MatchesPlayed
Alcaide G.,492.69,0,1,1
Kudla D.,464.04,70,131,201
Bubka S.,485.57,4,11,15
Dasnieres de Veigy J.,467.35,1,5,6
Lindell C.,439.71,2,8,10
Knittel B.,486.31,1,4,5
Marti Y.,471.04,2,5,7
Sadecky A.,490.78,1,2,3
Velotti A.,446.22,0,4,4
Johnson S.,527.14,187,199,386
Melzer G.,480.06,15,29,44
Duclos P.L.,497.48,1,3,4
Lojda D.,489.54,0,1,1
Klahn B.,417.88,13,43,56
Sock J.,571.04,167,138,305
Ungur A.,392.06,6,26,32
Zhang Z.,489.67,4,11,15
Wu D.,445.14,4,20,24
Belyaev I.,489.42,0,1,1
Schoorel T.,483.54,1,5,6
Muster T.,462.16,0,3,3
Marti J.,438.6,2,11,13
Goffin D.,684.47,302,235,537
Sabry S.,484.61,0,1,1
Venus M.,449.35,1,8,9
Scholtz N.,480.55,0,1,1
Rios F.,482.2,0,1,1
Bagnis F.,515.38,43,81,124
Romboli F.,478.99,0,1,1
Clezar G.,402.13,1,10,11
Kuznetsov Al.,415.06,5,16,21
Farah R.,501.44,3,6,9
Borvanov R.,487.48,0,1,1
Galdon P.,495.53,0,1,1
Kumantsov A.,485.66,0,1,1
Garza D.,452.09,0,4,4
Sanchez M.,465.26,0,2,2
Awadhy O.,490.36,0,1,1
Granollers Pujol G.,485.81,0,1,1
Kuznetsov An.,577.59,63,91,154
Gutierrez-Ferrol S.,497.64,2,2,4
Ramos A.,600.51,63,80,143
Carreno-Busta P.,569.77,39,65,104
Granollers-Pujol G.,475.62,0,2,2
Teixeira M.,466.95,1,5,6
Stebe C.M.,531.14,26,42,68
Cox D.,434.1,0,5,5
Golding O.,455.92,0,3,3
Walter L.,480.86,0,1,1
De Schepper K.,449.69,24,61,85
Wang J.,509.77,8,13,21
Olaso G.,488.21,2,4,6
Kern R.,463.18,0,3,3
Kosakowski D.,489.56,1,2,3
Grigelis L.,486.09,0,1,1
Pavic M.,463.36,3,8,11
Delic M.,452.48,2,8,10
Thiem D.,535.7,321,197,518
Sitak A.,480.41,0,1,1
Chvojka E.,478.38,0,2,2
Pospisil V.,608.88,112,154,266
Jaziri M.,430.28,80,128,208
Dutra Da Silva R.,489.48,0,1,1
Giannessi A.,441.84,12,23,35
Torebko P.,469.34,0,2,2
Rodrigues M.,515.06,1,1,2
Renavand N.,511.66,1,1,2
Li Z.,413.52,0,10,10
Zopp J.,474.69,14,29,43
Nedelko I.,474.49,0,2,2
