Name,Elo,Wins,Losses,MatchesPlayed
Robert S.,310,37,75,112
Faurel J.C.,475,2,7,9
Burniol G.,490,0,2,2
Matos-Gil I.,490,0,2,2
Devilder N.,370,21,47,68
Vico U.,485,2,5,7
Pashanski B.,375,22,47,69
Kindlmann D.,450,1,11,12
Ventura S.,400,37,57,94
Vagnozzi S.,480,3,7,10
Stoppini A.,475,3,8,11
Haehnel J.,450,8,18,26
Jeanpierre J.,505,3,2,5
Falla A.,185,90,153,243
Berrer M.,215,81,138,219
Whitehouse W.,495,4,5,9
Lu Y.H.,215,136,193,329
Ancic I.,505,2,1,3
Flanagan I.,505,2,1,3
Qureshi A.,490,4,6,10
Fitz S.,495,0,1,1
Navarro-Pastor I.,340,33,65,98
Wang Y.T.,435,13,26,39
Hellstrom M.,495,0,1,1
Gabashvili T.,70,104,190,294
Verdasco M.,500,1,1,2
Eleskovic E.,475,2,7,9
van der Meer N.,495,0,1,1
van Gemerden M.,485,3,6,9
Przysiezny M.,300,17,57,74
Cook L.,495,0,1,1
Beck A.,385,37,60,97
Rieschick S.,490,1,3,4
Lu Y.,455,1,10,11
Minar I.,345,30,61,91
Gimeno D.,495,0,1,1
Djokovic N.,4695,1038,199,1237
Kubot L.,305,79,118,197
Baghdatis M.,815,311,248,559
Jenkins S.,450,5,15,20
Benneteau A.,495,0,1,1
Healey N.,465,4,11,15
Tsonga J.W.,1575,428,213,641
Lu H.,500,1,1,2
Ionita V.,485,0,3,3
Bohane A.,495,0,1,1
Pedroso A.,495,0,1,1
Widom T.,500,5,5,10
Gimeno-Traver D.,110,87,165,252
Roger-Vasselin E.,285,77,120,197
Klec I.,470,1,7,8
Simon G.,1075,479,364,843
Monfils G.,1730,552,306,858
Stakhovsky S.,300,140,180,320
Gruber K.,495,0,1,1
Rascon T.,495,0,1,1
Ryderstedt M.,475,7,12,19
Kimmich M.,485,0,3,3
Abdulla M.,495,0,1,1
Bourgeois L.,490,0,2,2
Nunez E.,495,0,1,1
Sun P.,485,1,4,5
Parada F.,490,0,2,2
Harboe P.,495,0,1,1
Young D.,145,114,185,299
Dailey Z.,495,0,1,1
Minar J.,485,0,3,3
Kuznetsov A.,425,5,20,25
Tecau H.,495,0,1,1
Fogues F.,495,1,2,3
Murray A.,2605,675,254,929
Machado R.,375,12,37,49
Condor F.,495,0,1,1
Summerer T.,465,1,8,9
Mirnegg M.,495,0,1,1
Sela D.,255,116,165,281
Brzezicki J.P.,445,6,17,23
Dlouhy L.,360,19,47,66
Goodall J.,450,1,11,12
Uebel L.,495,0,1,1
Klein T.,495,0,1,1
Rettenmaier T.,500,2,2,4
