Name,Elo,Wins,Losses,MatchesPlayed
Wang Y. Jr,498.68006827865554,1,1,2
Matsui T.,515.0408216869972,2,2,4
Crivoi V.,399.04490831862057,12,28,40
Fruttero J.P.,483.1857085423052,0,1,1
Chen T.,465.508401543428,0,3,3
Do M.Q.,482.0487181439785,0,1,1
Soeda G.,461.5036428700903,29,76,105
Naso G.,406.8818491017698,2,11,13
Sanchez de Luna J.A.,488.20660501713206,0,1,1
Fognini F.,567.1052822245456,385,362,747
Ittogi T.,481.12880841157886,0,1,1
Kirillov E.,477.410074342758,0,2,2
Ledovskikh M.,421.2386538029324,3,12,15
Eitzinger R.,487.0994506179095,3,6,9
Davletshin V.,486.0553039027198,0,1,1
Lorenzi P.,436.0042986386736,101,177,278
Junaid R.,474.44399423896374,0,2,2
Uppal V.,479.9010919833898,0,1,1
Bopanna R.,457.98421474632966,5,13,18
Sultan-Khalfan A.,487.33695372654927,0,1,1
King-Turner D.,426.49628311072564,0,6,6
Istomin D.,521.3541094099443,185,228,413
Adaktusson J.,486.63907011596405,0,1,1
Snobel P.,467.0398878977414,0,3,3
Cuadrado C.,519.0507513224939,3,2,5
Del Potro J.M.,931.3338910036842,399,153,552
Aguilar J.,481.289712149023,1,4,5
Prodon E.,350.52248482601055,0,15,15
Korolev E.,523.5767842957304,67,86,153
Sidorenko A.,471.6854186633822,4,8,12
Querry S.,460.05115169285045,2,5,7
Warburg S.,460.02399955971583,4,10,14
Ghem A.,465.42502855464176,2,5,7
Van der Dium A.,479.1101377515155,0,1,1
Meffert D.,481.1605966725333,4,8,12
Gallardo Valles M.,493.22353855732734,0,1,1
Gonzalez S.,439.0124438521246,1,7,8
Witten J.,474.9084891893172,2,8,10
Balleret B.,470.4001030153872,2,8,10
Galvani S.,416.49333788857706,8,19,27
Granollers-Pujol M.,488.6898108405301,0,1,1
Salva B.,425.10384620671186,0,5,5
Ouahab L.,481.6150253529467,5,10,15
Peric T.,485.115917737801,0,1,1
Saoudi S.,489.8982065342792,1,2,3
